City,Date,Cloudiness,Country,Humidity,Lat,Lng,Max Temp,Wind Speed
camacha,1566621195,40.0,PT,78.0,33.08,-16.33,73.4,9.17
eyl,1566621291,20.0,SO,43.0,7.98,49.82,89.12,27.81
busselton,1566621292,64.0,AU,37.0,-33.64,115.35,62.01,3.44
vilhena,1566621130,0.0,BR,55.0,-12.74,-60.15,72.2,1.32
sabang,1566621296,100.0,PH,79.0,13.8,121.11,84.0,4.0
rocha,1566621297,26.0,UY,86.0,-34.48,-54.34,41.24,4.76
mataura,1566621299,97.0,NZ,72.0,-46.19,168.86,53.01,11.01
kyshtovka,1566621300,89.0,RU,78.0,56.56,76.62,66.44,15.64
bluff,1566621301,64.0,AU,47.0,-23.58,149.07,70.22,16.98
guatire,1566621303,20.0,VE,65.0,10.47,-66.54,82.4,2.24
ponta do sol,1566621304,0.0,BR,79.0,-20.63,-46.0,56.18,2.28
thompson,1566621305,90.0,CA,87.0,55.74,-97.86,60.8,3.36
isla vista,1566621306,1.0,US,77.0,34.41,-119.86,68.0,4.7
hilo,1566621308,90.0,US,69.0,19.71,-155.08,82.4,6.93
baykit,1566621309,80.0,RU,41.0,61.68,96.39,67.7,4.03
mufulira,1566621310,33.0,ZM,57.0,-12.55,28.24,58.52,8.41
saint-cyr-sur-loire,1566621311,0.0,FR,67.0,47.41,0.67,60.8,5.82
nikolskoye,1566621313,90.0,RU,87.0,59.7,30.79,60.01,6.71
sao domingos,1566621314,17.0,BR,46.0,-13.4,-46.32,69.14,2.08
provideniya,1566621315,70.0,RU,57.0,64.42,-173.23,54.02,0.81
anadyr,1566621316,40.0,RU,54.0,64.73,177.51,59.0,6.71
hobart,1566621318,75.0,AU,39.0,-42.88,147.33,62.6,21.92
punta arenas,1566621319,90.0,CL,93.0,-53.16,-70.91,39.2,14.99
saint george,1566621320,0.0,GR,53.0,39.45,22.34,77.0,3.36
puerto ayora,1566621067,36.0,EC,92.0,-0.74,-90.35,70.0,4.0
tasiilaq,1566621323,100.0,GL,94.0,65.61,-37.64,41.0,3.36
yar-sale,1566621185,100.0,RU,67.0,66.83,70.83,57.26,19.33
cravo norte,1566621325,0.0,CO,90.0,6.3,-70.2,73.64,2.75
vaini,1566621326,40.0,IN,83.0,15.34,74.49,78.8,6.93
beloha,1566621328,18.0,MG,70.0,-25.17,45.06,70.58,14.99
tuktoyaktuk,1566621329,90.0,CA,75.0,69.44,-133.03,41.0,23.04
tazovskiy,1566621330,100.0,RU,84.0,67.47,78.7,50.96,12.77
bethel,1566621331,1.0,US,48.0,60.79,-161.76,62.6,13.87
hasaki,1566621333,75.0,JP,78.0,35.73,140.83,86.0,4.7
oussouye,1566621334,92.0,SN,82.0,12.49,-16.54,79.58,18.32
ipixuna,1566621335,0.0,BR,94.0,-1.76,-48.8,75.2,3.36
san quintin,1566621336,100.0,PH,92.0,17.54,120.52,76.16,7.61
airai,1566621338,56.0,TL,56.0,-8.93,125.41,82.64,6.13
hithadhoo,1566621123,41.0,MV,63.0,-0.6,73.08,83.18,6.46
liuhe,1566621340,37.0,CN,77.0,42.28,125.73,71.12,6.46
yellowknife,1566621341,90.0,CA,100.0,62.45,-114.38,51.8,12.75
kristiansund,1566621343,100.0,NO,93.0,63.12,7.73,53.6,16.11
pozo colorado,1566621344,0.0,PY,61.0,-23.49,-58.8,56.36,4.83
caluquembe,1566621345,68.0,AO,42.0,-13.78,14.68,51.86,8.25
salinopolis,1566621346,28.0,BR,81.0,-0.61,-47.36,80.12,14.09
carnarvon,1566621348,0.0,ZA,23.0,-30.97,22.13,57.62,9.24
la ronge,1566621350,40.0,CA,82.0,55.1,-105.3,59.0,3.36
marawi,1566621351,100.0,PH,77.0,8.0,124.29,84.0,5.99
taoudenni,1566621354,49.0,ML,34.0,22.68,-3.98,92.0,7.45
marzuq,1566621356,52.0,YE,17.0,14.4,46.47,85.7,5.88
rikitea,1566621357,68.0,PF,66.0,-23.12,-134.97,71.84,20.51
bredasdorp,1566621359,0.0,ZA,81.0,-34.53,20.04,53.6,4.7
dikson,1566621360,100.0,RU,98.0,73.51,80.55,40.7,18.01
pangnirtung,1566621361,90.0,CA,93.0,66.15,-65.72,42.8,1.7
ushuaia,1566621362,75.0,AR,75.0,-54.81,-68.31,41.0,12.75
new norfolk,1566621364,75.0,AU,39.0,-42.78,147.06,62.6,21.92
leh,1566621365,0.0,IN,31.0,34.16,77.58,52.4,2.44
lorengau,1566621366,20.0,PG,72.0,-2.02,147.27,83.18,11.03
high level,1566621369,75.0,CA,76.0,58.52,-117.13,57.2,2.24
zwedru,1566621371,76.0,LR,98.0,6.07,-8.13,70.22,2.66
catia la mar,1566621372,20.0,VE,65.0,10.6,-67.03,82.4,2.24
cabo san lucas,1566621133,75.0,MX,83.0,22.89,-109.91,82.0,5.82
namibe,1566621375,66.0,AO,87.0,-15.19,12.15,66.62,9.8
iqaluit,1566621377,40.0,CA,75.0,63.75,-68.52,42.8,2.24
kodiak,1566621378,1.0,US,78.0,39.95,-94.76,71.6,8.05
lichtenburg,1566621379,0.0,ZA,34.0,-26.15,26.16,56.9,14.03
urucara,1566621380,6.0,BR,79.0,-2.54,-57.76,73.64,1.28
srednekolymsk,1566621382,39.0,RU,35.0,67.46,153.71,77.24,3.74
richards bay,1566621383,0.0,ZA,68.0,-28.77,32.06,64.28,7.16
qaanaaq,1566621374,94.0,GL,66.0,77.48,-69.36,35.3,22.44
roma,1566621226,0.0,IT,68.0,41.89,12.48,75.2,5.82
georgetown,1566621279,0.0,GY,100.0,6.8,-58.16,75.2,2.24
barrow,1566621391,99.0,AR,73.0,-38.31,-60.23,49.34,11.54
chapais,1566621393,1.0,CA,93.0,49.78,-74.86,48.2,4.7
avarua,1566621394,7.0,CK,73.0,-21.21,-159.78,75.2,12.75
trebinje,1566621395,0.0,HR,47.0,42.71,18.35,84.2,4.7
micheweni,1566621397,91.0,TZ,88.0,-4.97,39.83,75.08,12.8
alihe,1566621398,82.0,CN,50.0,50.57,123.73,74.36,2.98
chokurdakh,1566621399,11.0,RU,41.0,70.62,147.9,66.98,3.44
albany,1566621301,75.0,US,100.0,42.65,-73.75,61.0,3.06
port alfred,1566621402,0.0,ZA,93.0,-33.59,26.89,55.0,5.23
constitucion,1566621403,93.0,MX,73.0,23.99,-104.67,63.0,7.0
atuona,1566621404,93.0,PF,74.0,-9.8,-139.03,79.04,15.79
guerrero negro,1566621406,0.0,MX,85.0,27.97,-114.04,67.88,2.68
loandjili,1566621407,40.0,CG,100.0,-4.77,11.87,71.6,3.36
cape town,1566621408,0.0,ZA,75.0,-33.93,18.42,53.01,4.7
luwuk,1566621409,97.0,ID,94.0,-0.95,122.79,68.96,3.56
harer,1566621411,1.0,US,66.0,42.19,-111.17,63.0,3.36
hermanus,1566621412,0.0,ZA,25.0,-34.42,19.24,64.99,1.01
havelock,1566621413,75.0,US,74.0,34.88,-76.9,82.4,5.82
kabanjahe,1566621414,99.0,ID,42.0,3.1,98.49,88.0,4.81
salvador,1566621190,40.0,BR,88.0,-12.98,-38.48,75.2,6.93
westport,1566621417,75.0,US,68.0,41.14,-73.36,68.0,8.05
longyearbyen,1566621418,75.0,NO,67.0,78.22,15.63,37.4,11.41
kargil,1566621420,0.0,PK,33.0,34.56,76.13,58.34,2.37
kapaa,1566621188,75.0,US,78.0,22.08,-159.32,87.8,11.41
tiksi,1566621422,92.0,RU,87.0,71.64,128.87,51.68,2.26
sobolevo,1566621423,6.0,RU,76.0,54.43,31.9,61.4,5.7
mount isa,1566621425,0.0,AU,10.0,-20.73,139.49,86.0,6.93
itarema,1566621426,7.0,BR,84.0,-2.92,-39.92,73.1,6.26
